title,genres,spoken languages,produdction countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Long Shot,"Comedy, Romance","Français, English, svenska",United States of America,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,The New York Times,"subject: Movies;subject: Comedy and Humor;persons: Odenkirk, Bob;persons: Rogen, Seth;persons: Theron, Charlize;creative_works: Long Shot (Movie);persons: Levine, Jonathan A (1976- );",2019-05-02T17:43:25+0000,1025.0,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,Critic’s Pick,,Beating the Odds for Love and Bliss,,,,By Manohla Dargis,
Clara,"Science Fiction, Drama, Romance","Español, English",Canada,https://www.nytimes.com/2019/05/02/movies/clara-review.html,A ruthless empiricist searching for life beyond Earth learns a thing or two about life on the planet.,The New York Times,"subject: Movies;creative_works: Clara (Movie);persons: Adams, Patrick J;persons: Esmer, Ennis (1978- );persons: Sherman, Akash;",2019-05-02T11:00:04+0000,256.0,‘Clara’ Review: Love Means Never Having to Say You’re Starry,,,Clara,,,,By Ben Kenigsberg,
कलंक,"Drama, Romance",हिन्दी,India,,,,,,,,,,,,,,,
Rafiki,"Drama, Romance","Kiswahili, English","Kenya, South Africa",https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,The New York Times,"subject: Movies;persons: Kahiu, Wanuri;creative_works: Rafiki (Movie);persons: Mugatsia, Samantha;persons: Munyiva, Sheila;",2019-04-18T11:00:06+0000,251.0,"‘Rafiki’ Review: Falling in Love, Illegally",,,Rafiki,,,,By Ben Kenigsberg,
Diane,"Drama, History, Romance",English,United States of America,https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"subject: Movies;creative_works: Diane (Movie);persons: Jones, Kent;persons: Place, Mary Kay;persons: Parsons, Estelle;persons: Martin, Andrea (1947- );",2019-03-28T11:00:01+0000,511.0,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,,"A Vibrant Tale of Love, Sisterhood and Decline",,,,By Jeannette Catsoulis,
Five Feet Apart,"Romance, Drama","English, Français, Español",United States of America,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"subject: Movies;creative_works: Five Feet Apart (Movie);persons: Baldoni, Justin;",2019-03-14T13:00:07+0000,258.0,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,,,Five Feet Apart,,,,By Ben Kenigsberg,
江湖儿女,"Crime, Romance, Drama",普通话,"France, Japan, China",,,,,,,,,,,,,,,
Gloria Bell,"Drama, Romance",English,"Chile, United States of America",https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"subject: Movies;creative_works: Gloria Bell (Movie);persons: Moore, Julianne;persons: Turturro, John;persons: Lelio, Sebastian;",2019-03-07T18:49:47+0000,991.0,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,Critic’s Pick,,"Love, and Some Laughter, Is in the Air",,,,By Manohla Dargis,
Black Mother,Documentary,English,United States of America,https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"subject: Documentary Films and Programs;persons: Allah, Khalik (1985- );creative_works: Black Mother (Movie);",2019-03-06T18:30:16+0000,380.0,‘Black Mother’ Review: Exploring the Roots of Life Itself,Critic’s Pick,,"Exploring the Roots of Life Itself, With Love",,,,By Glenn Kenny,
The Hole in the Ground,Horror,English,"Belgium, Finland, Ireland, United Kingdom",https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",The New York Times,"subject: Movies;creative_works: The Hole in the Ground (Movie);persons: Cronin, Lee (Film Director);",2019-02-28T12:00:09+0000,291.0,‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,,,The Hole  in the Ground,,,,By Teo Bugbee,
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",English,United States of America,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"subject: Movies;persons: DeBlois, Dean;persons: Baruchel, Jay;persons: ABRAHAM, F MURRAY;persons: Ferrera, America;creative_works: How to Train Your Dragon: The Hidden World (Movie);",2019-02-21T00:02:36+0000,531.0,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,,,Love Takes Wing Amid Trouble in Utopia,,,,By Ben Kenigsberg,
A Tuba To Cuba,"Documentary, Music, History",English,"Cuba, United States of America",,,,,,,,,,,,,,,
Fighting with My Family,Comedy,English,"United Kingdom, United States of America",,,,,,,,,,,,,,,
"Plaire, aimer et courir vite","Comedy, Drama, Romance","Français, Español",France,,,,,,,,,,,,,,,
